meta_book,meta_bookAbbrev,meta_bookIndex,meta_chapterIndex,meta_verseIndex,title,id,url,text
Jeremiah,jr,23,42,1,Jeremiah Chapter 43 Verse 2,jr_43_2,https://en.wikipedia.org/wiki/Bible,"Then Azariah, the son of Hoshaiah, and Johanan, the son of Kareah, and all the men of pride, said to Jeremiah, You have said what is false: the Lord our God has not sent you to say, You are not to go into the land of Egypt and make your living-place there:"
Jeremiah,jr,23,42,2,Jeremiah Chapter 43 Verse 3,jr_43_3,https://en.wikipedia.org/wiki/Bible,"But Baruch, the son of Neriah, is moving you against us, to give us up into the hands of the Chaldaeans so that they may put us to death, and take us away prisoners into Babylon."
Jeremiah,jr,23,42,3,Jeremiah Chapter 43 Verse 4,jr_43_4,https://en.wikipedia.org/wiki/Bible,"So Johanan, the son of Kareah, and all the captains of the forces, and all the people, did not give ear to the order of the Lord that they were to go on living in the land of Judah."
Jeremiah,jr,23,42,4,Jeremiah Chapter 43 Verse 5,jr_43_5,https://en.wikipedia.org/wiki/Bible,"But Johanan, the son of Kareah, and all the captains of the forces took all the rest of Judah who had come back into the land of Judah from all the nations where they had been forced to go;"
Jeremiah,jr,23,42,5,Jeremiah Chapter 43 Verse 6,jr_43_6,https://en.wikipedia.org/wiki/Bible,"The men and the women and the children and the king's daughters, and every person whom Nebuzaradan, the captain of the armed men, had put under the care of Gedaliah, the son of Ahikam, the son of Shaphan, and Jeremiah the prophet and Baruch, the son of Neriah;"
Jeremiah,jr,23,42,6,Jeremiah Chapter 43 Verse 7,jr_43_7,https://en.wikipedia.org/wiki/Bible,And they came into the land of Egypt; for they did not give ear to the voice of the Lord: and they came to Tahpanhes.
Jeremiah,jr,23,42,7,Jeremiah Chapter 43 Verse 8,jr_43_8,https://en.wikipedia.org/wiki/Bible,"Then the word of the Lord came to Jeremiah in Tahpanhes, saying,"
Jeremiah,jr,23,42,8,Jeremiah Chapter 43 Verse 9,jr_43_9,https://en.wikipedia.org/wiki/Bible,"Take in your hand some great stones, and put them in a safe place in the paste in the brickwork which is at the way into Pharaoh's house in Tahpanhes, before the eyes of the men of Judah;"
Jeremiah,jr,23,42,9,Jeremiah Chapter 43 Verse 10,jr_43_10,https://en.wikipedia.org/wiki/Bible,"And say to them, This is what the Lord of armies, the God of Israel, has said: See, I will send and take Nebuchadrezzar, the king of Babylon, my servant, and he will put the seat of his kingdom on these stones which have been put in a safe place here by you; and his tent will be stretched over them."
Jeremiah,jr,23,42,10,Jeremiah Chapter 43 Verse 11,jr_43_11,https://en.wikipedia.org/wiki/Bible,"And he will come and overcome the land of Egypt; those who are for death will be put to death, those who are to be prisoners will be made prisoners, and those who are for the sword will be given to the sword."
